Fri, 07 Jun 2019 15:57:10 INFO Restoring parameters from ./data/darknet_weights/yolov3.ckpt
Fri, 07 Jun 2019 19:55:27 INFO Epoch: 5, global_step: 28000 | loss: total: 1.25, xy: 0.10, wh: 0.09, conf: 0.72, class: 0.33 | Last batch: rec: 0.900, prec: 0.947 | lr: 0.0001
Fri, 07 Jun 2019 20:03:55 INFO Epoch: 5, global_step: 29000 | loss: total: 1.30, xy: 0.11, wh: 0.09, conf: 0.75, class: 0.35 | Last batch: rec: 0.950, prec: 0.950 | lr: 0.0001
Fri, 07 Jun 2019 20:12:23 INFO Epoch: 5, global_step: 30000 | loss: total: 1.32, xy: 0.11, wh: 0.09, conf: 0.77, class: 0.36 | Last batch: rec: 0.850, prec: 0.895 | lr: 0.0001
Fri, 07 Jun 2019 20:20:51 INFO Epoch: 5, global_step: 31000 | loss: total: 1.34, xy: 0.11, wh: 0.09, conf: 0.79, class: 0.36 | Last batch: rec: 0.750, prec: 0.937 | lr: 0.0001
Fri, 07 Jun 2019 20:29:19 INFO Epoch: 5, global_step: 32000 | loss: total: 1.35, xy: 0.11, wh: 0.09, conf: 0.79, class: 0.37 | Last batch: rec: 0.850, prec: 0.850 | lr: 0.0001
Fri, 07 Jun 2019 20:37:56 INFO Epoch: 6, global_step: 33000 | loss: total: 0.96, xy: 0.10, wh: 0.08, conf: 0.55, class: 0.24 | Last batch: rec: 0.750, prec: 1.000 | lr: 9.6e-05
Fri, 07 Jun 2019 20:46:24 INFO Epoch: 6, global_step: 34000 | loss: total: 1.01, xy: 0.10, wh: 0.08, conf: 0.58, class: 0.25 | Last batch: rec: 0.750, prec: 0.789 | lr: 9.6e-05
Fri, 07 Jun 2019 20:54:52 INFO Epoch: 6, global_step: 35000 | loss: total: 1.05, xy: 0.10, wh: 0.08, conf: 0.61, class: 0.27 | Last batch: rec: 0.750, prec: 0.833 | lr: 9.6e-05
Fri, 07 Jun 2019 21:03:19 INFO Epoch: 6, global_step: 36000 | loss: total: 1.07, xy: 0.10, wh: 0.08, conf: 0.62, class: 0.27 | Last batch: rec: 0.850, prec: 0.944 | lr: 9.6e-05
Fri, 07 Jun 2019 21:11:49 INFO Epoch: 6, global_step: 37000 | loss: total: 1.09, xy: 0.10, wh: 0.08, conf: 0.64, class: 0.28 | Last batch: rec: 0.850, prec: 0.944 | lr: 9.6e-05
Fri, 07 Jun 2019 21:20:26 INFO Epoch: 7, global_step: 38000 | loss: total: 0.78, xy: 0.10, wh: 0.07, conf: 0.43, class: 0.19 | Last batch: rec: 0.950, prec: 0.950 | lr: 9.6e-05
Fri, 07 Jun 2019 21:28:55 INFO Epoch: 7, global_step: 39000 | loss: total: 0.84, xy: 0.10, wh: 0.07, conf: 0.47, class: 0.20 | Last batch: rec: 0.850, prec: 0.944 | lr: 9.6e-05
Fri, 07 Jun 2019 21:37:38 INFO Epoch: 7, global_step: 40000 | loss: total: 0.88, xy: 0.10, wh: 0.07, conf: 0.50, class: 0.21 | Last batch: rec: 0.800, prec: 0.762 | lr: 9.6e-05
Fri, 07 Jun 2019 21:46:06 INFO Epoch: 7, global_step: 41000 | loss: total: 0.91, xy: 0.10, wh: 0.07, conf: 0.51, class: 0.22 | Last batch: rec: 0.700, prec: 0.875 | lr: 9.6e-05
Fri, 07 Jun 2019 21:54:35 INFO Epoch: 7, global_step: 42000 | loss: total: 0.93, xy: 0.10, wh: 0.07, conf: 0.53, class: 0.23 | Last batch: rec: 0.900, prec: 0.900 | lr: 9.6e-05
Fri, 07 Jun 2019 22:04:36 INFO Epoch: 8, global_step: 43000 | loss: total: 0.84, xy: 0.09, wh: 0.06, conf: 0.49, class: 0.19 | Last batch: rec: 0.950, prec: 0.950 | lr: 9.6e-05
Fri, 07 Jun 2019 22:14:42 INFO Epoch: 8, global_step: 44000 | loss: total: 0.71, xy: 0.09, wh: 0.07, conf: 0.37, class: 0.18 | Last batch: rec: 0.900, prec: 0.900 | lr: 9.6e-05
Fri, 07 Jun 2019 22:24:28 INFO Epoch: 8, global_step: 45000 | loss: total: 0.77, xy: 0.09, wh: 0.07, conf: 0.42, class: 0.19 | Last batch: rec: 1.000, prec: 0.909 | lr: 9.6e-05
Fri, 07 Jun 2019 22:34:14 INFO Epoch: 8, global_step: 46000 | loss: total: 0.79, xy: 0.10, wh: 0.07, conf: 0.43, class: 0.19 | Last batch: rec: 0.950, prec: 0.826 | lr: 9.6e-05
Fri, 07 Jun 2019 22:43:56 INFO Epoch: 8, global_step: 47000 | loss: total: 0.81, xy: 0.10, wh: 0.07, conf: 0.45, class: 0.20 | Last batch: rec: 0.900, prec: 0.900 | lr: 9.6e-05
Fri, 07 Jun 2019 22:53:39 INFO Epoch: 8, global_step: 48000 | loss: total: 0.83, xy: 0.10, wh: 0.07, conf: 0.46, class: 0.20 | Last batch: rec: 0.850, prec: 0.773 | lr: 9.6e-05
Fri, 07 Jun 2019 23:03:51 INFO Epoch: 9, global_step: 49000 | loss: total: 0.60, xy: 0.09, wh: 0.07, conf: 0.31, class: 0.13 | Last batch: rec: 0.950, prec: 0.950 | lr: 9.6e-05
Fri, 07 Jun 2019 23:13:27 INFO Epoch: 9, global_step: 50000 | loss: total: 0.67, xy: 0.09, wh: 0.07, conf: 0.35, class: 0.16 | Last batch: rec: 0.900, prec: 0.947 | lr: 9.6e-05
Fri, 07 Jun 2019 23:23:02 INFO Epoch: 9, global_step: 51000 | loss: total: 0.71, xy: 0.09, wh: 0.07, conf: 0.38, class: 0.17 | Last batch: rec: 0.900, prec: 0.857 | lr: 9.6e-05
Fri, 07 Jun 2019 23:32:35 INFO Epoch: 9, global_step: 52000 | loss: total: 0.73, xy: 0.09, wh: 0.07, conf: 0.39, class: 0.18 | Last batch: rec: 0.750, prec: 0.833 | lr: 9.6e-05
Fri, 07 Jun 2019 23:42:39 INFO Epoch: 9, global_step: 53000 | loss: total: 0.75, xy: 0.09, wh: 0.07, conf: 0.41, class: 0.19 | Last batch: rec: 0.850, prec: 0.895 | lr: 9.6e-05
Fri, 07 Jun 2019 23:53:47 INFO Epoch: 10, global_step: 54000 | loss: total: 0.56, xy: 0.09, wh: 0.06, conf: 0.29, class: 0.13 | Last batch: rec: 0.900, prec: 0.900 | lr: 9.6e-05
Sat, 08 Jun 2019 00:02:31 INFO Epoch: 10, global_step: 55000 | loss: total: 0.59, xy: 0.09, wh: 0.06, conf: 0.30, class: 0.14 | Last batch: rec: 0.850, prec: 1.000 | lr: 9.6e-05
